guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_(法) dessin_デッサン,(法) dessin,デッサン,法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準,N1,other,unknown,IL2_single_default(kun 84%),法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準
kk_SF小説_エスエフしょうせつ,SF小説,エスエフしょうせつ,小:◆形・数・量・力・程度などが比較しようとしているもの以下である、求められる(必要とされる、必要な)形・数・量・力・程度などに及ばない(足りない)、劣(おと)る、; 説:◆解き明かす、解釈する、またそれを言葉にしたもの◆あることに対する意見◆意味することが分かるように順序立てて話す,N1,on,on+on~,B_verb_rad_言(kun 80%),小:◆形・数・量・力・程度などが比較しようとしているもの以下である、求められる(必要とされる、必要な)形・数・量・力・程度などに及ばない(足りない)、劣(おと)る、; 説:◆解き明かす、解釈する、またそれを言葉にしたもの◆あることに対する意見◆意味することが分かるように順序立てて話す
kk_carte（德）_カルテ,carte（德）,カルテ,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N1,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_gaze（德）_ガーゼ,gaze（德）,ガーゼ,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N1,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_gift券_ギフトけん,gift券,ギフトけん,券:◆手形、割符、木或いは竹の札に契約(約束)内容を書きこれを半分に割って双方が持ち真正な相手の証(あかし)としたもの◆「券書(ケンショ)」、契約(約束)の内容を書,N1,on,on~,IL2_on_only(on 99%) | B_verb_rad_刀(kun 80%),券:◆手形、割符、木或いは竹の札に契約(約束)内容を書きこれを半分に割って双方が持ち真正な相手の証(あかし)としたもの◆「券書(ケンショ)」、契約(約束)の内容を書
kk_green車_グリーンしゃ,green車,グリーンしゃ,車:◆二つの輪(リン、車輪)の中心に軸(ジク、車軸)を通し、その上に人や物を乗せるための台(車台)を設(しつら)えたもの ◆輪状・円状のものが軸を中心として回転する,N1,other,unknown,IL2_single_default(kun 84%),車:◆二つの輪(リン、車輪)の中心に軸(ジク、車軸)を通し、その上に人や物を乗せるための台(車台)を設(しつら)えたもの ◆輪状・円状のものが軸を中心として回転する
kk_jet機_ジェットき,jet機,ジェットき,機:◆布を織る装置、「機織(キショク、はたおり)」◆ある仕事をさせる(する)ために人や部品を組み合わせて作り上げた仕組みや仕掛け(組織や装置)◆「機関(キカン)」◇,N1,other,unknown,IL2_single_default(kun 84%) | B_noun_rad_木(kun 93%),機:◆布を織る装置、「機織(キショク、はたおり)」◆ある仕事をさせる(する)ために人や部品を組み合わせて作り上げた仕組みや仕掛け(組織や装置)◆「機関(キカン)」◇
kk_あいそう/愛想_あいそ,あいそう/愛想,あいそ,愛:◆相手に心を寄せる、慕(した)う、またその気持◆心から慈(いつく)しむ、優しく大切に可愛がる◆心から好む、気に入る、気に入って手放せない; 想:◆～について考える、また考えを巡(めぐ)らす◆～と思う、～ではないかと思う◆～したいと思う,N1,other,mixed+mixed~,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),愛:◆相手に心を寄せる、慕(した)う、またその気持◆心から慈(いつく)しむ、優しく大切に可愛がる◆心から好む、気に入る、気に入って手放せない; 想:◆～について考える、また考えを巡(めぐ)らす◆～と思う、～ではないかと思う◆～したいと思う
kk_お供_おとも,お供,おとも,供:◆両手で物を捧(ささ)げ持つ、恭(うやうや)しく捧げ持つ、同「龔」◆労働・金品などを差し出す、また差し出して役立てる◆「供給(キョウキュウ)」、必要があるところ,N1,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),供:◆両手で物を捧(ささ)げ持つ、恭(うやうや)しく捧げ持つ、同「龔」◆労働・金品などを差し出す、また差し出して役立てる◆「供給(キョウキュウ)」、必要があるところ
kk_お手上げ_おてあげ,お手上げ,おてあげ,手:◆体や物体の一部で、胴から分かれ出て伸び、持つ・握る・叩く・ものを作る・操作するなどの機能を持つ部分、掌(たなごころ)と指を合わせた全体、腕の先の部分 ◆自(み; 上:◆位置・場所・地位などが高い、高い方にある◆高い方に移る、昇る、登る◆順序・時間などが前、前の方にある◆前の方に移る◆等級・品質などが高い、優れている◆殿様、皇,N1,kun,kun+kun~,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),手:◆体や物体の一部で、胴から分かれ出て伸び、持つ・握る・叩く・ものを作る・操作するなどの機能を持つ部分、掌(たなごころ)と指を合わせた全体、腕の先の部分 ◆自(み; 上:◆位置・場所・地位などが高い、高い方にある◆高い方に移る、昇る、登る◆順序・時間などが前、前の方にある◆前の方に移る◆等級・品質などが高い、優れている◆殿様、皇
