guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_jupon（法）_ズボン,jupon（法）,ズボン,法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準,N5,other,unknown,IL2_single_default(kun 84%),法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準
kk_kop（荷）_コップ,kop（荷）,コップ,荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白,N5,other,unknown,IL2_single_default(kun 84%),荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白
kk_match/（燐寸）_マッチ,match/（燐寸）,マッチ,燐:◆(黄燐などのように)自然発火し空中を動き回る青白い火、鬼火(おにび、空中を動き回る青白い火、古く原因が分からず鬼が点けた火と考えられた)、螢火(ほたるび、ホタ; 寸:◆長さの単位、1寸=10分、10寸=1尺 ◆非常に短い、(時間が、長さが)ほんの少し◆すん、すんづくり、部首名,N5,on,on+on~,A3_short_compound(on+on 71%),燐:◆(黄燐などのように)自然発火し空中を動き回る青白い火、鬼火(おにび、空中を動き回る青白い火、古く原因が分からず鬼が点けた火と考えられた)、螢火(ほたるび、ホタ; 寸:◆長さの単位、1寸=10分、10寸=1尺 ◆非常に短い、(時間が、長さが)ほんの少し◆すん、すんづくり、部首名
kk_あの様_あのよう,あの様,あのよう,様:◆物事の性格や状態、また姿や形、あり方また見掛け◆形や姿、状態やあり方、方法や方式、同「𢳌」◆形や姿・状態やあり方・方法や方式などの種類を数える語◆クヌギ(櫟、,N5,other,unknown,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_木(kun 93%),様:◆物事の性格や状態、また姿や形、あり方また見掛け◆形や姿、状態やあり方、方法や方式、同「𢳌」◆形や姿・状態やあり方・方法や方式などの種類を数える語◆クヌギ(櫟、
kk_お婆さん_おばあさん,お婆さん,おばあさん,婆:◆年老いた女性◆夫の母、また祖母(ソボ)◆「娑婆(サバ、シャバ)」◇耐え忍ぶべき世界、現世、梵語のsahāの音写◇[日]軍隊や牢獄などの束縛されている世界から見,N5,other,unknown,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),婆:◆年老いた女性◆夫の母、また祖母(ソボ)◆「娑婆(サバ、シャバ)」◇耐え忍ぶべき世界、現世、梵語のsahāの音写◇[日]軍隊や牢獄などの束縛されている世界から見
kk_お子さん_おこさん,お子さん,おこさん,子:◆母親から産まれるもの、古くは男女を問わず「子」といったが、現代中国では男の子(息子)を指す◆新しく産まれる(生まれる)ものの元となるもの、植物の種や実、動物の,N5,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),子:◆母親から産まれるもの、古くは男女を問わず「子」といったが、現代中国では男の子(息子)を指す◆新しく産まれる(生まれる)ものの元となるもの、植物の種や実、動物の
kk_お客さん_おきゃくさん,お客さん,おきゃくさん,客:◆他からやって来て他人の家・宿舎・旅館・店などに立ち寄る人、また身を寄せる人、主(あるじ)が自らの家などに受け入れた人、招いた人かどうかは問わない◆退く、過ぎ去,N5,on,on~,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_宀(kun 93%),客:◆他からやって来て他人の家・宿舎・旅館・店などに立ち寄る人、また身を寄せる人、主(あるじ)が自らの家などに受け入れた人、招いた人かどうかは問わない◆退く、過ぎ去
kk_お巡りさん_おまわりさん,お巡りさん,おまわりさん,巡:◆視察しに行く、(視察地を)見て回る◆順に沿って一回りする,N5,other,unknown,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),巡:◆視察しに行く、(視察地を)見て回る◆順に沿って一回りする
kk_お握り_おにぎり,お握り,おにぎり,握:◆掌(てのひら)と五本の指でしっかりと掴(つか)む◆しっかりと手の中に入れる◆一掴(ひとつか)み(片手で握った量),N5,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_verb_rad_手(kun 80%),握:◆掌(てのひら)と五本の指でしっかりと掴(つか)む◆しっかりと手の中に入れる◆一掴(ひとつか)み(片手で握った量)
kk_お爺さん_おじいさん,お爺さん,おじいさん,爺:◆父(ちち)、父親、お父さん◆[日]老年の男性,N5,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),爺:◆父(ちち)、父親、お父さん◆[日]老年の男性
