guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_(荷) pek_ペンキ,(荷) pek,ペンキ,荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白,N3,other,unknown,IL2_single_default(kun 84%),荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白
kk_Thema(德)_テーマ,Thema(德),テーマ,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N3,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_allergy（德）_アレルギー,allergy（德）,アレルギー,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N3,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_concours（法）_コンクール,concours（法）,コンクール,法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準,N3,other,unknown,IL2_single_default(kun 84%),法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準
kk_enguete(法)_アンケート,enguete(法),アンケート,法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準,N3,other,unknown,IL2_single_default(kun 84%),法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準
kk_gom（荷）_ゴム,gom（荷）,ゴム,荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白,N3,other,unknown,IL2_single_default(kun 84%),荷:◆ハス(蓮)、ハス科ハス属の水草、ハスの花・実・茎・根茎など全体を指す、別名「芙蕖(フキョ)」、「【爾雅注疏:釋草】荷芙渠(…)其莖茄其葉蕸其本蔤(《注》莖下白
kk_salad油_サラダゆ,salad油,サラダゆ,油:◆粘性の高い可燃性の液体、「石油(セキユ)」◆膏(コウ、あぶら)、脂肪(シボウ)◆光沢(コウタク)、艶(つや)、同「𥑤」◆ゆったりとしたさま,N3,other,unknown,IL2_single_default(kun 84%),油:◆粘性の高い可燃性の液体、「石油(セキユ)」◆膏(コウ、あぶら)、脂肪(シボウ)◆光沢(コウタク)、艶(つや)、同「𥑤」◆ゆったりとしたさま
kk_tempo（意）_テンポ,tempo（意）,テンポ,意:◆心の中にあって外(言葉や態度・行動など)には出さない思いや考え、心の動きや働き、気持ち◆物事の内にあって表には現れ出ないもの、内に込められているもの,N3,on,on~,IL2_on_only(on 99%),意:◆心の中にあって外(言葉や態度・行動など)には出さない思いや考え、心の動きや働き、気持ち◆物事の内にあって表には現れ出ないもの、内に込められているもの
kk_あっという間に_あっというまに,あっという間に,あっというまに,間:◆両側からぴったりと閉じられずに開いているところ、(空間・時間・物事・関係などが)連続せずに途切れているところ、開いたり途切れたりして何もないところ、隙(すき),N3,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),間:◆両側からぴったりと閉じられずに開いているところ、(空間・時間・物事・関係などが)連続せずに途切れているところ、開いたり途切れたりして何もないところ、隙(すき)
kk_お互いに_おたがいに,お互いに,おたがいに,互:◆二つのものが逆の方向から(別の方向から)同じところで合わさる、行き来し合う、代わる代わる(かわるがわる)にする、～し合う,N3,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),互:◆二つのものが逆の方向から(別の方向から)同じところで合わさる、行き来し合う、代わる代わる(かわるがわる)にする、～し合う
