guid,Word,Reading,Meaning,Level,ReadingType,Pattern,Rules,KanjiDetail
kk_capsel（德）_カプセル,capsel（德）,カプセル,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N2,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_categorie（德）_カテゴリー,categorie（德）,カテゴリー,德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら,N2,on,on~,IL2_on_only(on 99%),德:◆生まれながらに備わっている性質、もの本来の性質、本性(ホンショウ)◆本来の行いや考え、人として尊(とうと)び守るべき(進むべき)道、「道徳(ドウトク)」◆自ら
kk_etiquette（法）_エチケット,etiquette（法）,エチケット,法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準,N2,other,unknown,IL2_single_default(kun 84%),法:◆規律を維持するための決まり、守り従うべき制度や規則、私的なものではなく公(おおやけ)のものを指す◆標準的な或いは慣例となっているやり方、またそれらに従う◆基準
kk_organ（葡）_オルガン,organ（葡）,オルガン,葡:◆「葡萄(ブドウ)」、ブドウ科ブドウ属の果樹またその実◆[日]「葡萄牙(ポルトガル)」、国名,N2,on,on~,IL2_on_only(on 99%),葡:◆「葡萄(ブドウ)」、ブドウ科ブドウ属の果樹またその実◆[日]「葡萄牙(ポルトガル)」、国名
kk_いい加減_いいかげん,いい加減,いいかげん,加:◆足(た)す、付け足す、継(つ)ぎ足す、注(つ)ぎ足す◆増(ふ)やす、増える◆その上に～、その上更に～; 減:◆少なくなる、全体から一部がなくなる◆軽くなる、落ちる、下がる◆差し引く,N2,on,on+on,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),加:◆足(た)す、付け足す、継(つ)ぎ足す、注(つ)ぎ足す◆増(ふ)やす、増える◆その上に～、その上更に～; 減:◆少なくなる、全体から一部がなくなる◆軽くなる、落ちる、下がる◆差し引く
kk_いざと言う時_いざというとき,いざと言う時,いざというとき,言:◆相手に伝えたいことを声に出してはっきりと述べる、またその内容、またそのための語(ゴ、互いに意思の疎通を図るための言葉)◆字(ジ)、文字◆我(われ)、自分を指す; 時:◆一年の四分の一、季節、「一時(イチジ、三カ月、一季節)」「四時(シジ、四つの季節、四季)」◆一日の十二分の一、現在は二十四分の一、「時刻(ジコク)」◆年代、期,N2,kun,kun+kun~,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),言:◆相手に伝えたいことを声に出してはっきりと述べる、またその内容、またそのための語(ゴ、互いに意思の疎通を図るための言葉)◆字(ジ)、文字◆我(われ)、自分を指す; 時:◆一年の四分の一、季節、「一時(イチジ、三カ月、一季節)」「四時(シジ、四つの季節、四季)」◆一日の十二分の一、現在は二十四分の一、「時刻(ジコク)」◆年代、期
kk_お参り_おまいり,お参り,おまいり,参:◆行く、行って加わる◆行って目見(まみ)える、拝謁(ハイエツ)する、拝謁するために行く◆幾つものものを引き合わせて比べる◆三、「三」の大写字(「一」は「壹」・「,N2,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),参:◆行く、行って加わる◆行って目見(まみ)える、拝謁(ハイエツ)する、拝謁するために行く◆幾つものものを引き合わせて比べる◆三、「三」の大写字(「一」は「壹」・「
kk_お決まり_おきまり,お決まり,おきまり,決:◆堤(つつみ)などが破(やぶ)れる、また(堤防などが破れて)水が流れ出る◆破る、突き破る◆(妨げとなっている物や事を突き破って、押し退けて)きっぱりと、「決断(,N2,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),決:◆堤(つつみ)などが破(やぶ)れる、また(堤防などが破れて)水が流れ出る◆破る、突き破る◆(妨げとなっている物や事を突き破って、押し退けて)きっぱりと、「決断(
kk_くっ付く_くっつく,くっ付く,くっつく,付:◆手ずから授(さず)ける、直接手を取って与える、同「仅」◆渡し与える、渡して任せる、委(ゆだ)ねる◆[日]他のものに加える、また添える、また足す、同「附」,N2,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),付:◆手ずから授(さず)ける、直接手を取って与える、同「仅」◆渡し与える、渡して任せる、委(ゆだ)ねる◆[日]他のものに加える、また添える、また足す、同「附」
kk_くっ付ける_くっつける,くっ付ける,くっつける,付:◆手ずから授(さず)ける、直接手を取って与える、同「仅」◆渡し与える、渡して任せる、委(ゆだ)ねる◆[日]他のものに加える、また添える、また足す、同「附」,N2,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),付:◆手ずから授(さず)ける、直接手を取って与える、同「仅」◆渡し与える、渡して任せる、委(ゆだ)ねる◆[日]他のものに加える、また添える、また足す、同「附」
kk_ここの所_ここのところ,ここの所,ここのところ,所:◆処(ところ)、ものがある場また位置(要所・箇所など)、ことをする場また位置(住所・裁判所など)◆～のこと、「所感(感じること)」「所存(考え思っていること)◆,N2,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%),所:◆処(ところ)、ものがある場また位置(要所・箇所など)、ことをする場また位置(住所・裁判所など)◆～のこと、「所感(感じること)」「所存(考え思っていること)◆
kk_この度_このたび,この度,このたび,度:◆長さを測(はか)る際に基準となる物差し(ものさし)、またその目盛(めもり)、「度量(ドリョウ、長さと容量、人の言動をどの程度容認できるかの大きさ)」「法度(ハ,N2,kun,kun,IL1_okurigana(kun 96%) | IL2_single_okuri(kun 96%) | B_noun_rad_广(kun 93%),度:◆長さを測(はか)る際に基準となる物差し(ものさし)、またその目盛(めもり)、「度量(ドリョウ、長さと容量、人の言動をどの程度容認できるかの大きさ)」「法度(ハ
kk_ご無沙汰_ごぶさた,ご無沙汰,ごぶさた,無:◆ない、存在しない、有(ゆう)していない◆～ではない、～であってはならない◆簡「无」; 沙:◆砂、細かい砂、同「𡋷」◆砂地、砂が広がっているところ◆細かい粒状のもの、細かいさま、小さいさま◆ざらざらとしたさま◆淘(よな)げる、水の中で揺り動かして洗いな; 汰:◆たっぷりの水で濯(すす)ぐ、たっぷりの水で濯ぎ必要なもの以外を取り除く、同「汏」◆大きな波◆驕(おご)り高ぶる、同「泰」◆「沙汰(サタ)」◇水中で揺すって砂(,N2,on,on+on+on,IL1_okurigana(kun 96%) | A1_compound_oku(kun 90%) | A1_on_kun_mix(on+kun 65%),無:◆ない、存在しない、有(ゆう)していない◆～ではない、～であってはならない◆簡「无」; 沙:◆砂、細かい砂、同「𡋷」◆砂地、砂が広がっているところ◆細かい粒状のもの、細かいさま、小さいさま◆ざらざらとしたさま◆淘(よな)げる、水の中で揺り動かして洗いな; 汰:◆たっぷりの水で濯(すす)ぐ、たっぷりの水で濯ぎ必要なもの以外を取り除く、同「汏」◆大きな波◆驕(おご)り高ぶる、同「泰」◆「沙汰(サタ)」◇水中で揺すって砂(
